C1,C2,C3,C4,C5,C6,C7,D
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,0.0,Cammeo
0.0,1.0,1.0,0.0,1.0,0.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,0.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,1.0,1.0,1.0,Cammeo
1.0,1.0,1.0,1.0,0.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
1.0,1.0,1.0,0.0,1.0,1.0,0.0,Cammeo
